1;1;373;001;05/03/25;05/03/25;13945;9877,50;0,00;8029;4636;0,00;0,00
1;1;294;001;05/03/25;05/03/25;1983;1821,60;0,00;9198;142810;0,00;0,00
3;1;89;001;05/03/25;05/03/25;41802;467,00;0,00;8034;151280;0,00;0,00
3;1;374;001;05/03/25;05/03/25;13946;4119,00;0,00;8034;4636;0,00;0,00
3;1;295;001;05/03/25;05/03/25;1984;1062,60;0,00;8034;142810;0,00;0,00
4;1;375;001;05/03/25;05/03/25;13947;3319,50;0,00;8034;4636;0,00;0,00
4;1;296;001;05/03/25;05/03/25;1985;910,80;0,00;8034;142810;0,00;0,00
4;1;14;001;05/03/25;05/03/25;748138;319,86;0,00;8034;87729;0,00;0,00
4;1;14;001;05/03/25;05/03/25;748138;907,73;0,00;8034;87729;0,00;0,00
4;1;13;001;05/03/25;05/03/25;748086;2603,59;0,00;8034;87729;0,00;0,00
5;1;376;001;05/03/25;05/03/25;13948;3346,50;0,00;8034;4636;0,00;0,00
5;1;297;001;05/03/25;05/03/25;1986;910,80;0,00;8034;142810;0,00;0,00
6;1;377;001;05/03/25;05/03/25;13949;3238,50;0,00;8034;4636;0,00;0,00
6;1;298;001;05/03/25;05/03/25;1987;607,20;0,00;8034;142810;0,00;0,00
6;1;51;001;05/03/25;05/03/25;12289;386,00;0,00;8034;297620;0,00;0,00
1;1;1891;001;05/03/25;05/03/25;1278341;21486,63;0,00;8033;142296;0,00;0,00
1;1;1892;001;05/03/25;05/03/25;1278342;20703,00;0,00;8033;142296;0,00;0,00
1;1;1893;001;05/03/25;05/03/25;1278343;20715,64;0,00;8033;142296;0,00;0,00
6;1;44;001;05/03/25;05/03/25;166955;362,10;0,00;8034;319075;0,00;0,00
5;1;293;001;05/03/25;05/03/25;130380;1903,13;0,00;8034;174868;0,00;0,00
1;1;278;001;05/03/25;05/03/25;130392;15287,46;0,00;8029;174868;0,00;0,00
6;1;5;001;05/03/25;05/03/25;3299;503,83;0,00;8034;318851;0,00;0,00
6;1;299;001;05/03/25;05/03/25;130384;1921,25;0,00;8034;174868;0,00;0,00
6;1;298;001;05/03/25;05/03/25;130383;1874,40;0,00;8034;174868;0,00;0,00
5;1;32;001;05/03/25;05/03/25;5858;625,00;0,00;8034;236293;0,00;0,00
5;1;87;001;05/03/25;05/03/25;69505;300,00;0,00;8034;226707;0,00;0,00
4;1;286;001;05/03/25;05/03/25;130394;1910,81;0,00;8034;174868;0,00;0,00
5;1;681;001;05/03/25;05/03/25;22674;2186,92;0,00;8034;205995;0,00;0,00
1;1;975;001;05/03/25;05/03/25;8931;6143,58;0,00;8029;64614;0,00;0,00
3;1;677;001;05/03/25;05/03/25;22686;3224,45;0,00;8034;205995;0,00;0,00
1;1;43;001;05/03/25;05/03/25;12382;348,71;0,00;8029;230463;0,00;0,00
1;1;405;001;05/03/25;05/03/25;60866;7520,00;0,00;8029;172131;0,00;0,00
6;1;421;001;05/03/25;05/03/25;60869;2707,20;0,00;8034;172131;0,00;0,00
6;1;682;001;05/03/25;05/03/25;22671;1592,36;0,00;8034;205995;0,00;0,00
1;1;1;001;05/03/25;05/03/25;2228;886000,00;0,00;483;446197;0,00;0,00
1;1;54;001;05/03/25;05/03/25;1466128;7696,69;0,00;8029;22770;0,00;0,00
3;1;45;001;05/03/25;05/03/25;212;190,00;0,00;8034;401314;0,00;0,00
3;1;44;001;05/03/25;05/03/25;211;306,30;0,00;8034;401314;0,00;0,00
6;1;1526;001;05/03/25;05/03/25;159047;23528,51;0,00;8034;749;0,00;0,00
6;1;1529;001;05/03/25;05/03/25;159076;5267,15;0,00;8034;749;0,00;0,00
6;1;1527;001;05/03/25;05/03/25;159048;22533,74;0,00;8034;749;0,00;0,00
6;1;1528;001;05/03/25;05/03/25;159075;29143,78;0,00;8034;749;0,00;0,00
3;1;46;001;05/03/25;05/03/25;213;140,00;0,00;8034;401314;0,00;0,00
1;1;1507;001;05/03/25;05/03/25;159118;29892,61;0,00;9198;749;0,00;0,00
1;1;1506;001;05/03/25;05/03/25;159119;23352,21;0,00;9198;749;0,00;0,00
1;1;1505;001;05/03/25;05/03/25;159117;153855,15;0,00;9198;749;0,00;0,00
3;1;47;001;05/03/25;05/03/25;214;308,55;0,00;8034;401314;0,00;0,00
1;1;4;001;05/03/25;05/03/25;65;150,00;0,00;8029;429366;0,00;0,00
1;1;4;001;05/03/25;05/03/25;65;150,00;0,00;8029;429366;0,00;0,00
1;1;4;001;05/03/25;05/03/25;65;150,00;0,00;8029;429366;0,00;0,00
4;1;15;001;05/03/25;05/03/25;202518;1967,73;0,00;8034;373846;0,00;0,00
3;1;2;001;05/03/25;05/03/25;621;349,00;0,00;8034;390022;0,00;0,00
3;1;1538;001;05/03/25;05/03/25;159507;10400,00;0,00;483;749;0,00;0,00
3;1;1538;001;05/03/25;05/03/25;159507;108,63;0,00;8034;749;0,00;0,00
1;1;109;001;05/03/25;05/03/25;2142;50,00;0,00;483;151259;0,00;0,00
