0001;06/03/2025;82;175;87000.00;609
0001;13/03/2025;82;175;40000.00;609
0001;12/03/2025;82;175;95000.00;609
0001;06/03/2025;82;81;8403.00;609
0001;28/03/2025;82;13;20000.00;466
0001;10/03/2025;83;82;85000.00;609
0001;12/03/2025;83;85;50000.00;609
0001;07/03/2025;83;84;5.00;656
0001;12/03/2025;83;84;21992.87;656
0001;14/03/2025;83;84;8922.07;656
0001;12/03/2025;13;13;303.55;609
0001;06/03/2025;13;13;3870.50;609
0001;07/03/2025;85;172;7102.59;609
0001;12/03/2025;85;172;7203.66;609
0001;17/03/2025;85;82;9.90;609
0001;25/03/2025;85;92;1241.56;656
0001;10/03/2025;85;92;16176.20;656
0001;11/03/2025;85;92;58075.60;656
0001;12/03/2025;85;92;40065.45;656
0001;11/03/2025;84;83;769.99;444
0001;06/03/2025;84;83;2800.00;444
0001;14/03/2025;85;92;5319.46;656
0001;05/03/2025;92;85;35623.59;444
0001;07/03/2025;92;85;39185.03;444
0001;13/03/2025;92;85;525.10;444
0001;24/03/2025;92;85;1241.56;444
0001;06/03/2025;92;85;27978.39;444
0001;14/03/2025;162;82;500000.00;609
0001;17/03/2025;180;85;2019.10;609
0001;20/03/2025;180;85;8.15;609
0001;28/03/2025;180;85;552.18;609
0001;17/03/2025;180;175;12885.46;609
0001;25/03/2025;180;85;1241.56;609
0001;14/03/2025;180;175;25562.16;609
0001;14/03/2025;180;83;8912.07;609
0001;17/03/2025;180;175;3503.05;609
0001;14/03/2025;180;85;5319.46;609
0001;18/03/2025;180;85;101.10;609
0001;26/03/2025;180;82;10000.00;609
0001;26/03/2025;180;181;144711.31;656
0001;27/03/2025;180;181;4236.98;656
0001;20/03/2025;180;181;101850.30;656
0001;21/03/2025;180;181;25091.49;656
0001;05/03/2025;180;181;32800.00;656
0001;10/03/2025;180;181;2900.33;656
0001;19/03/2025;180;181;75120.55;656
0001;17/03/2025;181;180;31241.73;444
0001;14/03/2025;181;180;97046.65;444
0001;31/03/2025;181;180;25585.69;444
0001;25/03/2025;181;180;57271.49;444
0001;18/03/2025;181;180;36356.75;444
0001;13/03/2025;181;180;17258.46;444
0001;28/03/2025;181;180;3497.22;444
0001;24/03/2025;181;180;96684.26;444
0001;10/03/2025;84;83;8076.30;444
